ingredient,description,label,sccs opinions,chemical iupac name,identified ingredient substance,cmr
dmdm hydantoin,"A controversial preservative that has formaldehyde-releasing properties . It works great against bacteria and also has mild fungicide abilities. Cosmetic chemist, Colin wrote a great article about formaldehyde and DMDM Hydantoin .  He writes that formaldehyde is the perfect example of "" the dose makes the poison "" principle. It's a natural stuff that can also be found in fresh fruits and vegetables, and eating it in tiny amounts is totally ok. However, in larger amounts ( according to Wikipedia 30 mL of a solution containing 37% formaldehyde) it's deadly. The amount of formaldehyde used in cosmetics either neat or through formaldehyde-releasing preservatives is tiny. Probably that is why the Cosmetic Ingredient Review Broad concluded both in 1988 and in 2008 that DMDM Hydantoin is "" safe as used in cosmetics "". However, Colins argues that in the case of formaldehyde-releasing preservatives, formaldehyde is released slowly and the skin has probably not evolved to deal with that. The lingering formaldehyde might be toxic to the Langerhans Cells that are important for the skin's defense system. Another potential issue is that formaldehyde-releasers might also release other things while reacting with amino acids in the skin that is probably the explanation why some people are not allergic to formaldehyde but are allergic to formaldehyde-releasing preservatives. These are all theories, far from proven facts, but we feel that there are some justified reasons why formaldehyde-releasing preservatives and Dmdm Hydantoin count as controversial. All in all, it's up to you to decide if you wanna avoid this preservative group or not. If so, there are other, less risky and more skin-friendly options out there.",safe,,,,
simethicone,A type of silicone that's used mainly to stop the product from foaming when it's not needed. It's also often used to coat the sunscreen agent titanium dioxide for better spreading and easier formulation.,safe,,,,
carthamus tinctorius oleosomes,"In general, oleosomes   are tiny-winy (micron sized) spheres that store emollient plant oils (+ some other things). In particular, Safflower Oleosomes are created from safflower seeds and carry safflower seed oil and vitamin E. According to the manufacturer , oleosomes work both as natural emulsifiers as well as time-released delivery systems . Oleosomes on the skin do not collapse at once, but slowly and they deliver the stored emollient plant oil and vitamin E over an extended period of time giving the skin long-lasting moisture .",safe,,,,
leuconostoc ferment filtrate,"An alternative, natural preservative coming from the Leuconostoc bacteria. Koreans have used this preservation method for ages to preserve one of their traditional foods, kimchi (a type of fermented cabbage). Leuconostoc Ferment Filtrate contains non-viable microorganisms that show antimicrobial properties against a bunch of other microorganisms. The recommended use level is 2-4%.",safe,,,,
lactobacillus/​arundinaria gigantea ferment filtrate,"The fancy name for fermented bamboo that's obtained by macerating bamboo stalks and leaves and then fermenting them with Lactobacillus lactis. According to the manufacturer , the end result contains silica ( silicones also come from silica) and powerful antioxidants called isoflavones. Thanks to its silica content, bamboo ferment is not only an antioxidant but can be used as a natural silicone replacement giving slip to the cosmetic products.",safe,,,,
tridecyl stearate,"A clear, colorless oily liquid that works as a medium feel emollient . It absorbs very quickly into the skin, leaves no shine and gives a nice, velvety after-feel.",safe,,,,
sorbitan palmitate,"A creamy solid that helps water and oil to mix, aka emulsifier . Its solid, wax-like nature is useful for oil-based formulas where some rigidity is needed.",safe,,,,
tridecyl trimellitate,"A viscous, thick liquid emollient that gives lubricity and cushion at low use levels. It's great for night creams, eye area products, and skin treatment products due to the substantive film forming ability.",safe,,,,
polyglyceryl-3 diisostearate,A natural emulsifier that brings a soft and powdery feel to the formula. It's also very gentl e and is recommended for sensitive or baby skin products.,safe,,,,
polyglyceryl-3 polyricinoleate,"A plant based ingredient that helps water to mix with oil (aka W/O emulsifier).  It's especially good for soft to low-viscosity water-in-oil emulsions with non-greasy, pleasant skin feel like lip balms or thick body butters.",safe,,,,
astaxanthin,"An oil-loving, red-orange colored pigment that is becoming more and more well-known as a potent antioxidant . If being an orange-colored pigment reminds you of beta-carotene from carrots, that is no coincidence: astaxanthin also belongs to the chemical group called carotenoids known for giving yellow, orange, or red color to plants. Our guy comes mostly from microalgae , a well-known and often used source is Haematococcus Pluvialis . So Astaxanthin's main thing is being an antioxidant . You can take it as a supplement or slather it on your skin, it works both ways. A mouse skin study from 2012 found that a liposomal Astaxanthin formula prevented UV‐induced skin damage in multiple ways: UV-induced skin thickening, collagen reduction, and melanin formation were all hindered or prevented when the skin was pretreated with the Astaxanthin formula. Another study from 2012 examined the cosmetic benefits of Astaxanthin and found that combining oral supplementation (6mg/day) and topical application for 8 weeks in 30 volunteers showed improvements in skin wrinkle (crow’s feet), age spot size (cheek), elasticity (crow’s feet), skin texture (cheek) and moisture content of the skin (cheek).  If that would not be enough, a 2017 mouse study found our carotenoid molecule to be effective in speeding up wound healing. Overall, Astaxanthin is an up and coming antioxidant nice to spot on any ingredient list.",safe,,,,
