,chemical name inn,sccs opinions,chemical iupac name,identified ingredient substance,cmr
290,Coniine,,"Piperidine, 2-propyl-, (S)- 
",,
291,"Prunus laurocerasus L. (""cherry laurel water"")",,,,
292,Metyrapone (INN),,"1-Propanone, 2-methyl-1,2-di-3-pyridinyl- ",,
293,"Radioactive substances, as defined by Directive 96/29/Euratom (1) laying down the basic safety standards for the protection of the health of workers and the general public against the dangers arising from ionising radiation",,,,
294,"Juniperus sabina L. (leaves, essential oil and galenical preparations)",,,,
295,"Hyoscine, its salts and derivatives",,"Scopolamine; Benzeneacetic acid, alpha-(hydroxymethyl)-, (1alpha,2beta,4beta,5alpha,7beta)-9-methyl-3-oxa-9-
azatricyclo(3.3.1.02,4)non-7-yl ester, (alphaS)- 

",,
296,Gold salts,,,SACCHAROMYCES/GOLD FERMENTSACCHAROMYCES/GOLD FERMENT LYSATE FILTRATEGOLD ACETYLMETHIONATEGOLD ASPARTATE/GLUTAMATEGOLD CHLORIDE HCL,
297,Selenium and its compounds with the exception of selenium disulphide under the conditions set out under reference No 49 in Annex III,,,SELENIUM/GLYCINE SOJA SPROUT EXTRACTSELENIUM ASPARTATESACCHAROMYCES/SELENIUM FERMENTSACCHAROMYCES/ZINC/MAGNESIUM/CALCIUM/GERMANIUM/SELENIUM FERMENTDEFINED CELL CULTURE MEDIAHYDROLYZED SACCHAROMYCES/SODIUM SELENATE FERMENT EXTRACT,
298,Solanum nigrum L. and its galenical preparations,,,SOLANUM NIGRUM FRUIT EXTRACT,
299,Sparteine (INN) and its salts,,,,
300,Glucocorticoids (Corticosteroids),,,PREGNENOLONE ACETATEHYDROXYCORTISONE SUCCINATEHYDROCORTISONE ACETATE,
301,Datura stramonium L. and its galenical preparations,,,DATURA STRAMONIUM POWDERDATURA STRAMONIUM LEAF EXTRACT,
302,"Strophantines, their aglucones and their respective derivatives",,,,
303,Strophantus species and their galenical preparations,,,,
304,Strychnine and its salts,,,,
305,Strychnos species and their galenical preparations,,,,
306,"Narcotics, natural and synthetic: All substances listed in Tables I and II of the Single Convention on Narcotic Drugs signed in New York on 30 March 1961",,,,
307,Sulphonamides (sulphanilamide and its derivatives obtained by substitution of one or more H-atoms of the -NH2 groups) and their salts,,,TOSYLAMIDEMAFENIDE HCLMESYLOXYBENZYL ISOBUTYLBENZENESULFONAMIDE,
308,Sultiame (INN),,"Benzenesulfonamide, 4-(tetrahydro-2H-1,2-thiazin-2-yl)-, S,S-dioxide ",,
309,Neodymium and its salts,,,,
310,Thiotepa (INN),,Tris(aziridinyl)phosphine sulfide ,,
311,Pilocarpus jaborandi Holmes and its galenical preparations,,,,
312,Tellurium and its compounds,,,,
313,Xylometazoline (INN) and its salts,,,,
314,Tetrachloroethylene,,,,Carcinogenic Cat. 2()
315,Carbon tetrachloride,,"Tetrachloromethane 
",,Carcinogenic Cat. 2()
316,Hexaethyl tetraphosphate,,,,
317,Thallium and its compounds,,,,
318,"Thevetia neriifolia Juss., Glycoside extract",,,,
319,Ethionamide (INN),,"4-Pyridinecarbothioamide, 2-ethyl-; Isonicotinimidic acid, 2-ethylthio- 

",,
320,Phenothiazine (INN) and its compounds,,10H-Phenothiazine ,,
321,"Thiourea and its derivatives, with the exception of the one listed in Annex III",,,13-Bis(hydroxymethyl)-3-thioureaHydroxymethyl-2-thiourea1-Hydroxymethylimidazolidine-2-thione1-Monomorpholinomethyl-2-thiourea13-Bis(morpholinomethyl)-2-thioureaTHIOUREA,"Carcinogenic Cat. 2(),Reprotoxic Cat. 2()"
322,Mephenesin (INN) and its esters,,"3-(o-Methylphenoxy)-1,2-propanediol 
",,
323,"Vaccines, toxins or serums defined as immunological medicinal products pursuant to Article 1(4) of Directive 2001/83/EC",,,,
324,Tranylcypromine (INN) and its salts,,"Cyclopropanamine, 2-phenyl-, trans-(+-)- 
",,
325,Trichloronitromethane (chloropicrine),,,,
326,"2,2,2-Tribromoethanol (tribromoethyl alcohol)",,,,
327,Trichlormethine (INN) and its salts,,"2,2',2''-Trichlorotriethylamine ",,
328,Tretamine (INN),,"2,4,6-Tris(1-aziridinyl)-s-triazine 
",,
329,Gallamine triethiodide (INN),,"Ethanaminium, 2,2',2''-(1,2,3-benzenetriyltris(oxy))tris(N,N,N-triethyl)-, triiodide 
",,
330,Urginea scilla Steinh. and its galenical preparations,,,URGINEA MARITIMA TUBER EXTRACT,
331,"Veratrine, its salts and galenical preparations",,"CAS 8051-02-3 Veratrin mixture; Cevadine mixt. with veratridine, cevadiline and sabadine",,
332,Schoenocaulon officinale Lind (seeds and galenical preparations),,,,
333,Veratrum spp. and their preparations,,,VERATRUM OXYSEPALUM ROOT EXTRACTVERATRUM OXYSEPALUM EXTRACT,
334,Vinyl chloride monomer,,,,Carcinogenic Cat. 1A()
335,Ergocalciferol (INN) and Cholecalciferol (vitamins D2 and D3),,,CHOLECALCIFEROL/YEAST POLYPEPTIDECHOLECALCIFEROLERGOCALCIFEROL,
336,Salts of O-alkyldithiocarbonic acids,,,,
337,Yohimbine and its salts,,"Yohimban-16-carboxylic acid, 17-hydroxy-, methyl ester, (16alpha,17alpha)- 
",,
338,Dimethyl sulfoxide (INN),,,DMSO,
339,Diphenhydramine (INN) and its salts,,,,
340,4-tert-Butylphenol,,,,
341,4-tert-Butylpyrocatechol,,,,
342,Dihydrotachysterol (INN),,"9,10-Secoergosta-5,7,22-trien-3-ol, (3beta,5E,7E,10alpha,22E)- 
",,
343,Dioxane,,,,Carcinogenic Cat. 2()
344,Morpholine and its salts,,,HYDROXYANTHRAQUINONEAMINOPROPYL METHYL MORPHOLINIUM METHOSULFATEMORPHOLINEMORPHOLINE STEARATEMORPHOLINE OLEATE,
345,Pyrethrum album L. and its galenical preparations,,,,
346,2-[4-Methoxybenzyl-N-(2-pyridyl)amino]ethyldimethylamine maleate (Mepyramine maleate; pyrilamine maleate),,"1,2-Ethanediamine, N-((4-methoxyphenyl)methyl)-N',N'-dimethyl-N-2-pyridinyl-, (Z)-2-butenedioate (1:1); Mepyramine maleate  
",,
347,Tripelennamine (INN),,"1,2-Ethanediamine, N,N-dimethyl-N'-(phenylmethyl)-N'-2-pyridinyl-",,
348,Tetrachlorosalicylanilides,,,,
349,Dichlorosalicylanilides,,,,
350,Tetrabromosalicylanilides,,,,
351,Dibromosalicylanilides,,,,
352,Bithionol (INN),,"2,2'-Thiobis(4,6-dichlorophenol) 
",,
353,Thiuram monosulphides,,,,
355,"Dimethylformamide (N,N-Dimethylformamide)",,,,Reprotoxic Cat. 1B()
356,4-Phenylbut-3-en-2-one (Benzylideneacetone),,Benzylideneacetone; 4-phenylbutenone,,
357,Benzoates of 4-hydroxy-3-methoxycinnamyl alcohol (coniferyl alcohol) except for normal content in natural essences used,,,,
358,"Furocoumarines (e.g. trioxysalen (INN), 8-methoxypsoralen, 5-methoxypsoralen) except for normal content in natural essences used. 
In sun protection and in bronzing products, furocoumarines shall be below 1 mg/kg","Opinion concerning Bergamottin,Opinion concerning Isopimpinellin,Opinion concerning Furocoumarins in sun protection and bronzing products,Opinion on Furocoumarins in cosmetic products",,CITRUS AURANTIFOLIA JUICECITRUS AURANTIFOLIA PEEL EXTRACTCITRUS GRANDIS JUICECITRUS GRANDIS LEAF EXTRACTCITRUS GRANDIS PEEL EXTRACTRUTA GRAVEOLENS OILCITRUS AURANTIFOLIA PEEL OIL DISTILLEDCITRUS AURANTIFOLIA PEEL OIL EXPRESSEDCITRUS LIMON LEAF EXTRACTCITRUS PARADISI M. PEEL OIL EXPRESSEDCITRUS PARADISI X C. RETICULATA PEEL EXTRACTCITRUS PARADISI X C. RETICULATA PEEL OIL EXPRESSEDCITRUS RETICULATA X C. SINENSIS PEEL EXTRACTCITRUS RETICULATA X C. SINENSIS PEEL OIL EXPRESSEDCUMINUM CYMINUM FRUIT EXTRACTCUMINUM CYMINUM FRUIT OILRUTA GRAVEOLENS HERB OILCITRUS GRANDIS FRUIT EXTRACTCITRUS GRANDIS FRUIT WATERCITRUS GRANDIS PEELCITRUS GRANDIS PEEL OILCITRUS GRANDIS PEEL POWDERCITRUS GRANDIS/PARADISI FRUIT WATERCITRUS PARADISI FRUIT EXTRACTCITRUS PARADISI JUICECITRUS PARADISI PEEL EXTRACTCITRUS PARADISI PEEL OILCITRUS RETICULATA FRUIT EXTRACTCITRUS RETICULATA LEAF OILCITRUS RETICULATA PEEL EXTRACTCITRUS RETICULATA PEEL POWDERCITRUS AURANTIFOLIA FLOWER EXTRACTCITRUS AURANTIFOLIA FRUITCITRUS AURANTIFOLIA FRUIT EXTRACTCITRUS AURANTIFOLIA LEAF OILCITRUS AURANTIFOLIA PEELCITRUS AURANTIFOLIA PEEL POWDERCITRUS AURANTIFOLIA OILCITRUS AURANTIFOLIA FRUIT WATERCITRUS LIMON FLOWER/LEAF/STEM OILASCORBIC ACID/ORANGE/CITRUS LIMON/CITRUS AURANTIFOLIA POLYPEPTIDESRUTA GRAVEOLENS LEAF EXTRACTRUTA GRAVEOLENS LEAF/ROOT/STEM EXTRACTCITRUS LIMON LEAF/PEEL/STEM OILCITRUS LIMON LEAF CELL EXTRACTCITRUS LIMON PEEL CERACITRUS RETICULATA PEEL OILCITRUS RETICULATA LEAF WATERCITRUS AURANTIFOLIA PEEL WATERCITRUS LIMON FLOWER/LEAF/STEM EXTRACTCITRUS LIMON FRUIT EXTRACTCITRUS LIMON FRUIT OILCITRUS LIMON FRUIT POWDERCITRUS LIMON FRUIT WATERCITRUS LIMON JUICECITRUS LIMON JUICE EXTRACTCITRUS LIMON JUICE POWDERCITRUS LIMON LEAF OILCITRUS LIMON PEELCITRUS LIMON PEEL EXTRACTCITRUS LIMON PEEL OILCITRUS LIMON PEEL POWDERCITRUS LIMON PEEL WATERCITRUS UNSHIU/CITRUS RETICULATA/CITRUS IYO FRUIT WATERCITRUS AURANTIFOLIA FLOWER/GALIUM APARINE EXTRACTCITRUS AURANTIFOLIA FLOWER/SAMBUCUS NIGRA FLOWER EXTRACT,
359,Oil from the seeds of Laurus nobilis L.,,,LAURUS NOBILIS OIL,
360,"Safrole, except for normal content in the natural essences used and provided that the concentration does not exceed: 
100 ppm in the finished cosmetic product, 50 ppm in products for dental and oral hygiene, and provided that Safrole is not present in toothpastes intended specifically for children","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC","5-allyl-1,3-benzodioxole ",SafroleCINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIEDCINNAMOMUM CAMPHORA FORMOSANA ROOT EXTRACTCINNAMOMUM CAMPHORA FORMOSANA ROOT OILCINNAMOMUM CAMPHORA LINALOOLIFERUM ROOT EXTRACTCINNAMOMUM CAMPHORA LINALOOLIFERUM ROOT OILSASSAFRAS OFFICINALE BARK/ROOT EXTRACTSASSAFRAS OFFICINALE ROOT OILSASSAFRAS OFFICINALE BARK EXTRACT,"Carcinogenic Cat. 1B(),Mutagenic Cat. 2()"
361,"5,5'-Di-isopropyl-2,2'-dimethylbiphenyl-4,4'-diyl dihypoiodite (thymol iodide)",,Thymol iodide,,
362,"3'-Ethyl-5',6',7',8'-tetrahydro-5',5',8',8'-tetramethyl-2'-acetonaphthone or 7-acetyl-6-ethyl-1,1,4,4-tetramethyl-1,2,3,4-tetrahydronaphthalen (AETT; Versalide)",,AETT; Versalide,,
363,o-Phenylenediamine and its salts,,,,"Carcinogenic Cat. 2(),Mutagenic Cat. 2()"
364,"4-Methyl-m-phenylenediamine (Toluene-2,4-diamine) and its salts",,"2,4-Diaminotoluene; 1-Methyl-2,4-phenylenediamine; Toluene-2,4-diamine ; 1,3-Benzenediamine, 4-methyl-; 2,4-toluendiamine",,"Carcinogenic Cat. 1B(),Mutagenic Cat. 2(),Reprotoxic Cat. 2()"
365,Aristolochic acid and its salts; Aristolochia spp. and their preparations,AETT; CI 42 640,,,
366,Chloroform,,,CHLOROFORM,Carcinogenic Cat. 2()
367,"2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD)",AETT; CI 42 640,"2,3,7,8-tetrachlorodibenzo[b,e][1,4]dioxin",,
368,"2,6-Dimethyl-1,3-dioxan-4-yl acetate (Dimethoxane)",,,,
369,Pyrithione sodium (INNM) (2),,"Pyridine-2-thiol 1-oxide, sodium salt",SODIUM PYRITHIONE,
370,"captan (ISO); 1,2,3,6-tetrahydro-N-(trichloromethylthio)phthalimide",,"captan (ISO); 1,2,3,6-tetrahydro-N-(trichloromethylthio)phthalimide ",CAPTAN,Carcinogenic Cat. 2()
371,"2,2'-Dihydroxy-3,3',5,5',6,6'-hexachlorodiphenylmethane (Hexachlorophene (INN))",,,HEXACHLOROPHENE,
372,"6-(Piperidinyl)-2,4-pyrimidinediamine-3-oxide (Minoxidil (INN)) and its salts",Opinion concerning Minoxidil and salts,,MINOXIDILMINOXIDIL HYALURONAMIDEMINOXIDIL OXOTHIAZOLIDINECARBOXYLATEMINOXIDIL SUCCINOYL DECAPEPTIDE-18MINOXIDIL SUCCINOYL OLIGOPEPTIDE-143,
373,"3,4',5-Tribromosalicylanilide (Tribromsalan (INN))","Opinion concerning Tyrothricin and salts; 3,4',5-Tribromosalicylanilide",,,
374,Phytolacca spp. and their preparations,"Opinion concerning Tyrothricin and salts; 3,4',5-Tribromosalicylanilide",,PHYTOLACCA DECANDRA ROOT EXTRACTPHYTOLACCA DECANDRA EXTRACT,
375,Tretinoin (INN) (retinoic acid and its salts),,,RETINOIC ACID,
376,"1-Methoxy-2,4-diaminobenzene (2,4-Diaminoanisole - CI 76050) and its salts",,"2,4-diaminoanisole; 4-methoxy-m-phenylenediamine [1]; 2,4-diaminoanisole sulphate [2]",,"Carcinogenic Cat. 1B(),Mutagenic Cat. 2()"
377,"1-Methoxy-2,5-diaminobenzene (2,5-Diaminoanisole) and its salts",,,,
378,Colouring agent CI 12140,,"C.I. Solvent Orange 7; 1-(2,4-Dimethylphenylazo)-2-naphthol ",,
379,Colouring agent CI 26105 (Solvent Red 24),,1-(2-Methyl-4-(2-methylphenylazo)phenylazo)-2-naphthol,SOLVENT RED 24,
380,"4-[[4,4'-bis(dimethylamino)benzhydrylidene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium chloride [1]; tris[4-(dimethylamino) phenyl]methanol [2]",,"4-[[4,4'-bis(dimethylamino)benzhydrylidene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium chloride [1]; tris[4-(dimethylamino) phenyl]methanol [2]",BASIC VIOLET 3,Carcinogenic Cat. 2()
381,"Amyl 4-dimethylaminobenzoate, mixed isomers (Padimate A (INN))",,,PENTYL DIMETHYL PABA,
382,2-Amino-4-nitrophenol,,,2-AMINO-4-NITROPHENOL SULFATE2-AMINO-4-NITROPHENOL,
383,2-Amino-5-nitrophenol,,,2-AMINO-5-NITROPHENOL,
384,"11-alpha-Hydroxypregn-4-ene-3,20-dione and its esters","11-Alpha-Hydroxypregn-4-ene-3,20-dione","11alpha-Hydroxyprogesterone; Pregn-4-ene-3,20-dione, 11-hydroxy-, (11alpha)- ",,
385,"Colouring agent CI 42640 ([4-[[4-(Dimethylamino)phenyl][4-[ethyl(3-sulphonatobenzyl)amino]phenyl]methylene]cyclohexa-2,5-dien-1-ylidene](ethyl)(3-sulphonatobenzyl)ammonium, sodium salt)","Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC,Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC,AETT; CI 42 640",,,Carcinogenic Cat. 2()
386,Colouring agent CI 13065,,,ACID YELLOW 36,
387,Colouring agent CI 42535 (Basic Violet 1),,,BASIC VIOLET 1,
388,Colouring agent CI 61554 (Solvent Blue 35),,,SOLVENT BLUE 35,
389,Anti-androgens of steroidal structure,,,PREGNENOLONE ACETATE,
390,"Zirconium and its compounds, with the exception of the substances listed under reference number 50 in Annex III, and the zirconium lakes, pigments or salts of the colouring agents when listed Annex IV","Zirconium and Compounds Strontium lactate, nitrate and polycarboxylate",,DIALLYLOXYNEOHEXYL ZIRCONIUM TRIDECANOATEZIRCONIUM CHLOROHYDRATEZIRCONIUM SILICATEZIRCONYL CHLORIDEZIRCONIUM DIOXIDEZIRCONIUM POWDER,
392,Acetonitrile,AETT; CI 42 640,,,
393,Tetrahydrozoline (Tetryzoline (INN)) and its salts,"Opinion concerning Tyrothricin and salts; 3,4',5-Tribromosalicylanilide",,,
394,"Hydroxy-8-quinoline and its sulphate bis(8-hydroxyquinolinium) sulphate, except for the uses of the  sulphate provided for in entry 51 of Annex III",,1-Azanaphthalene-8-ol;,OXYQUINOLINEOXYQUINOLINE SULFATE,Reprotoxic Cat. 1B()
395,"Dithio-2,2'-bispyridine-dioxide-1,1' (additive with trihydrated magnesium sulphate) - (pyrithione disulphide + magnesium sulphate)",,,,
396,"Colouring agent CI 12075 (Pigment Orange 5) and its lakes, pigments and salts",,"1-[(2,4-dinitrophenyl)azo]-2-naphthol; C.I. Pigment Orange 5
",PIGMENT ORANGE 5,
397,"Colouring agent CI 45170, Colouring agent CI 45170:1 (Basic Violet 10)",,,BASIC VIOLET 10SOLVENT RED 49:1,
398,Lidocaine (INN),,,LIDOCAINELIDOCAINE HCL,
399,"1,2-Epoxybutane",,,,Carcinogenic Cat. 2()
400,Colouring agent CI 15585,,,PIGMENT RED 53PIGMENT RED 53:1,
401,Strontium lactate,"Opinion on Strontium Lactate, Nitrate and Polycarboxylate,Zirconium and Compounds Strontium lactate, nitrate and polycarboxylate,Opinion concerning Tyrothricin and salts; 3,4',5-Tribromosalicylanilide",,,
402,Strontium nitrate,"Opinion on Strontium Lactate, Nitrate and Polycarboxylate,Zirconium and Compounds Strontium lactate, nitrate and polycarboxylate,Opinion concerning Tyrothricin and salts; 3,4',5-Tribromosalicylanilide",,STRONTIUM NITRATE,
403,Strontium polycarboxylate,"Opinion on Strontium Lactate, Nitrate and Polycarboxylate,Zirconium and Compounds Strontium lactate, nitrate and polycarboxylate,Opinion concerning Tyrothricin and salts; 3,4',5-Tribromosalicylanilide",,,
404,Pramocaine (INN),,,PRAMOXINE HCl,
405,4-Ethoxy-m-phenylenediamine and its salts,,,4-ETHOXY-m-PHENYLENEDIAMINE4-ETHOXY-m-PHENYLENEDIAMINE SULFATE,
406,"2,4-Diaminophenylethanol and its salts",,,,
407,Pyrocatechol (Catechol),,,PYROCATECHOL,
408,Pyrogallol,,,PYROGALLOL,Mutagenic Cat. 2()
409,"Nitrosamines e.g. Dimethylnitrosoamine; Nitrosodipropylamine; 2,2'-(Nitrosoimino)bisethanol",,N-Nitrosodiethanolamine (NDELA),,
410,Secondary alkyl- and alkanolamines and their salts,"Opinion concerning Dialkyl- and Dialkanolamines and their salts in cosmetic products,Opinion concerning banning of Dialkanolamines which are still in the inventory",,DEA-C12-13 ALKYL SULFATEDEA-C12-13 PARETH-3 SULFATEDEA-C12-15 ALKYL SULFATEDEA-C8-18 PERFLUOROALKYLETHYL PHOSPHATEDEA-CETEARETH-2 PHOSPHATEDEA-CETYL PHOSPHATEDEA-CETYL SULFATEDEA-COCOAMPHODIPROPIONATEDEA-CYCLOCARBOXYPROPYLOLEATEDEA-DODECYLBENZENESULFONATEDEA-ISOSTEARATEDEA-LAURAMINOPROPIONATEDEA-LAURETH SULFATEDEA-LINOLEATEDEA-METHOXYCINNAMATEDEA-METHYL MYRISTATE SULFONATEDEA-MYRETH SULFATEDEA-MYRISTATEDEA-MYRISTYL SULFATEDEA-OLETH-10 PHOSPHATEDEA-OLETH-20 PHOSPHATEDEA-OLETH-3 PHOSPHATEDEA-OLETH-5 PHOSPHATEDEA-STYRENE/ACRYLATES/DVB COPOLYMERDICOCAMINEDIETHANOLAMINE BISULFATEDIETHYLAMINE LAURETH SULFATEDIPA-HYDROGENATED COCOATEDIPA-LANOLATEBUTYLETHANOLAMINEDEA PG-PROPYL PEG/PPG-18/21 DIMETHICONEDEA-LAURYL SULFATEDIETHANOLAMINEDIISOPROPANOLAMINEDIISOPROPYLAMINEDIETHYLHEXYLAMINEDEA-HYDROLYZED LECITHINMIXED ISOPROPANOLAMINESMIXED ISOPROPANOLAMINES LANOLATEMIXED ISOPROPANOLAMINES LAURYL SULFATEMIXED ISOPROPANOLAMINES MYRISTATEDEA-POLYPERFLUOROETHOXYMETHOXY PEG-2 PHOSPHATEHEXOXYETHYL DIETHYLAMMONIUM PHOSPHATEDIETHYLAMINEDEA-PEG-4 LAURATEDEA PG-OLEATEDIPA-MYRISTATEMETHYL DIETHANOLAMINE,
411,4-Amino-2-nitrophenol,,,4-AMINO-2-NITROPHENOL,
412,"2-Methyl-m-phenylenediamine (Toluene-2,6-diamine)",,"2,6-toluenediamine ",TOLUENE-26-DIAMINE,Mutagenic Cat. 2()
413,"4-tert.-Butyl-3-methoxy-2,6-dinitrotoluene (Musk ambrette)",,,,
415,"Cells, tissues or products of human origin",,"Cells, tissues or products of human origin",RH-POLYPEPTIDE-13RH-POLYPEPTIDE-14RH-POLYPEPTIDE-16RH-POLYPEPTIDE-27RH-POLYPEPTIDE-1RH-POLYPEPTIDE-2RH-POLYPEPTIDE-3RH-POLYPEPTIDE-4RH-POLYPEPTIDE-5RH-POLYPEPTIDE-6RH-POLYPEPTIDE-7RH-POLYPEPTIDE-8RH-POLYPEPTIDE-9RH-POLYPEPTIDE-10RH-POLYPEPTIDE-11RH-POLYPEPTIDE-12RH-POLYPEPTIDE-15RH-POLYPEPTIDE-7 HEXAPEPTIDE-25RH-POLYPEPTIDE-17RH-POLYPEPTIDE-18RH-POLYPEPTIDE-19RH-POLYPEPTIDE-22RH-POLYPEPTIDE-25RH-POLYPEPTIDE-26RH-POLYPEPTIDE-28RH-POLYPEPTIDE-29TRANSGENIC RICE RH-POLYPEPTIDE-45RH-POLYPEPTIDE-51RH-POLYPEPTIDE-52RH-POLYPEPTIDE-31DIPEPTIDE-20 HEXAPEPTIDE-40 OLIGOPEPTIDE-93 RH-POLYPEPTIDE-68 TETRAPEPTIDE-35RH-POLYPEPTIDE-11 DIPEPTIDE-19 OLIGOPEPTIDE-91 HEXAPEPTIDE-40RH-POLYPEPTIDE-68RH-POLYPEPTIDE-59RH-POLYPEPTIDE-62RH-POLYPEPTIDE-58RH-POLYPEPTIDE-63TRANSGENIC SILKWORM RH-POLYPEPTIDE-47TRANSGENIC NEMATODE RH-POLYPEPTIDE-47RH-POLYPEPTIDE-64RH-POLYPEPTIDE-47RH-POLYPEPTIDE-33RH-POLYPEPTIDE-65RH-POLYPEPTIDE-66RH-POLYPEPTIDE-67RH-POLYPEPTIDE-69TRIPEPTIDE-46 HEXAPEPTIDE-40 OLIGOPEPTIDE-96 OLIGOPEPTIDE-91 TETRAPEPTIDE-38 RH-POLYPEPTIDE-9RH-POLYPEPTIDE-79TRANSGENIC SILKWORM RH-POLYPEPTIDE-69RH-POLYPEPTIDE-83RH-POLYPEPTIDE-60RH-POLYPEPTIDE-45RH-POLYPEPTIDE-61OLIGOPEPTIDE-123 RH-POLYPEPTIDE-7OLIGOPEPTIDE-123 RH-POLYPEPTIDE-1OLIGOPEPTIDE-107 RH-POLYPEPTIDE-1RH-POLYPEPTIDE-50RH-POLYPEPTIDE-84OLIGOPEPTIDE-127 RH-POLYPEPTIDE-7RICE RH-POLYPEPTIDE-45SILKWORM RH-POLYPEPTIDE-69RH-POLYPEPTIDE-87RH-POLYPEPTIDE-88SILKWORM RH-POLYPEPTIDE-47NEMATODE RH-POLYPEPTIDE-47RH-POLYPEPTIDE-96ETHYL CARBAZIDO HYALURONATE RH-POLYPEPTIDE-7RH-POLYPEPTIDE-82RH-POLYPEPTIDE-20RH-POLYPEPTIDE-21RH-POLYPEPTIDE-104ETHYL CARBAZIDO HYALURONATE RH-POLYPEPTIDE-3RH-POLYPEPTIDE-111RH-POLYPEPTIDE-94RH-POLYPEPTIDE-95RH-POLYPEPTIDE-48RH-POLYPEPTIDE-114RH-POLYPEPTIDE-115RH-POLYPEPTIDE-105METHIONYL RH-POLYPEPTIDE-83METHIONYL RH-POLYPEPTIDE-125RH-POLYPEPTIDE-125HYDROLYZED HUMAN PLACENTAL PROTEINHUMAN KERATINOCYTESHUMAN ADIPOCYTE CONDITIONED MEDIA EXTRACT,
416,"3,3-Bis(4-hydroxyphenyl)phthalide (Phenolphthalein (INN))",,,PHENOLPHTHALEIN,"Carcinogenic Cat. 1A(C=>1%),Carcinogenic Cat. 1B(),Mutagenic Cat. 2(),Reprotoxic Cat. 2()"
417,3-Imidazol-4-ylacrylic acid (Urocanic acid) and its ethyl ester,,,ETHYL UROCANATEUROCANIC ACID,
418,"Category 1 material and Category 2 material as defined in Articles 4 and 5 respectively of Regulation (EC) No 1774/2002 of the European Parliament and of the Council (3), and ingredients derived therefrom","Use of Specified Risk Material in Cosmetics Clarification for Tallow Derivatives,Risk of ingredients deriving from category 1-material and category 2-material as defined in Regulation 1774/2002 I cosmetic products,Opinion concerning amendment to entry no. 419 of Annex II to Directive 76/768/EEC on Cosmetic Products,Opinion concerning amendment to entry no. 419 of Annex II to Directive 76/768/EEC on Cosmetic Products,Opinion concerning amendment to entry no. 419 of Annex II to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Amendment to Entry No 419 of Annex II to Directive 76/768/EEC on Cosmetic Products",,MARROW EXTRACTNEURAL EXTRACTSPINAL CORD EXTRACTSPINAL LIPID EXTRACTSPLEEN EXTRACTSPLEEN HYDROLYSATEBRAIN LIPIDSCEREBROSIDESMARROW LIPIDSSPINAL CORD LIPIDSBRAIN EXTRACT,
419,Crude and refined coal tars,"Opinion on Wood Tars and Wood Tar Preparations,Opinion on Refined Coal Tar by Bidistillation",,COAL TAR,
420,"1,1,3,3,5-Pentamethyl-4,6-dinitroindane (Moskene)","4,6-Dinitro-1,1,3,3,5-pentamethylindane (Musk Moskene)",,,
421,"5-tert.-Butyl-1,2,3-trimethyl-4,6-dinitrobenzene (Musk Tibetene)","5-tert-Butyl-1,2,3-trimethyl-4,6-dinitrobenzene (Musk Tibetene)",,,
422,"Alanroot oil (Inula helenium L.) (CAS No 97676-35-2), when used as a fragrance ingredient",An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products,,,
423,"Benzyl cyanide, when used as a fragrance ingredient",An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products,,PHENYLACETONITRILE,
424,"Cyclamen alcohol, when used as a fragrance ingredient",An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products,,CYCLAMEN HOMOALDEHYDE,
